State,Program/Opportunity Name,"Grade Levels
(Key: 0 - K and under, 13 - over high school)",,Eligibility Requirements,Cost/Funding,Cost/Funding Breakdown,,,,Deadlines,Deadlines,,Website/Link,Category (Type of Opportunity),"Field (Area of Focus)
Original",Delivery Context (Where Offered),Notes,,,,,,,,,,,,,,,,
Alabama,Alabama Robotics Contest – Computer Science,9    ,12    ,Schools / teams register; coding / robotics skills,Cost covered by school / hosting entity,,N,,School-funded,Contest annual (dates vary),Varies,,https://cs.ua.edu/programs/alabama-robotics-contest/,Competition,Technology / Coding,Outside School,In?person; selective; state exposure; travel possible,,,,,,,,,,,,,,,,
Alabama,Alabama School of Fine Arts (ASFA),7    ,12    ,Audition/portfolio/assessment by specialty; residency,"Public, tuition-free; fees vary",,,,School-funded,Admissions deadlines vary,Varies,,https://www.asfaschool.org/,Academic Program,Arts,At School,Public magnet school (arts & math/science),,,,,,,,,,,,,,,,
Alabama,Alabama School of Math and Science (ASMS),11    ,12    ,Competitive admissions; AL residency,"Public, tuition-free residential HS",,N,,School-funded,Applications due winter/spring,Spring,,https://www.asms.net/,Academic Program,Science,At School,Statewide residential STEM high school,,,,,,,,,,,,,,,,
Alabama,Alabama Science & Engineering Fair (ASEF),6    ,12    ,Must qualify via regional fairs; follow ASEF / ISEF rules,Usually free or low (sponsored),,N,,Privately-funded,Registration deadlines in Jan/Feb for regionals; state fair in April,,February,https://www.auburn.edu/cosam/outreach/stem_outreach/programs/asef/,Competition,Science,Outside School,State?level prestige / ISEF affiliate; in?person; travel for many students,,,,,,,,,,,,,,,,
Alabama,Alabama Science Olympiad,6    ,12    ,School team; membership/registration,$75-$225; grants available,150.00,Y,Y,,Invitational/Regional in winter; State in spring,Winter,,https://alaso.org/,Competition,Science,At School,State affiliate of USA Science Olympiad,,,,,,,,,,,,,,,,
Alabama,Alabama State Games (Sports / Esports / Activities),6    ,12    ,Open to Alabama youth athletes / participants,Entry fees vary; scholarships awarded for opening ceremony participants,Varies,Y,Y,,Events in June,,June,https://www.alagames.com,Competition,Sports,Outside School,State?level prestige; in?person events; travel required; includes esports and traditional sports,,,,,,,,,,,,,,,,
Alabama,Alabama Thespians,6    ,12    ,Open to all students,,,,,,,,,alathespians.org,Club,Arts,At School,Theater arts & competitions,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Alabama,Auburn University Engineering Summer Camps,9    ,12    ,Open to all students,,,,,,,,,eng.auburn.edu/outreach,Academic Program,STEM,Outside School,Week-long engineering camps,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Alabama,DECA Alabama,9    ,12    ,Open to all students,,,,,,,,,aldeca.org,Club,Business & Entrepreneurship,At School,Marketing & entrepreneurship competitions,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Alabama,HSTA?AL (Health Sciences & Technology Academy),9    ,12    ,"Recruitment in 8th grade; application & selection, focus on underrepresented / rural students",Free for participants,,N,,,Application / recruitment in 8th grade; summer academies schedule,Summer,,https://health.wvu.edu/health-sciences-and-technology-academy/,Academic Program,Health / Medicine,Outside School,In?person; selective; includes residential summer camps; prestige for health / STEM pipeline,,,,,,,,,,,,,,,,
Alabama,iCan Girls STEM Conference,6    ,8    ,Open to middle school girls + parent participation,Free (sponsored),,N,,Privately-funded,Event in August),,August,https://southernco.swoogo.com/2025icangirlsstemconf,Other,Science,Outside School,In?person; small scale; encouragement / outreach for girls in STEM,,,,,,,,,,,,,,,,
Alabama,Rocket City Math League (RCML),6    ,12    ,Open to students (through schools) participating in math contests,Usually free or low cost via school chapters,,N,,School-funded,Multiple contest dates in school year,Varies,,http://www.rocketcitymath.org,Competition,Math,Outside School,In?person / school hosting; selective by performance; regionally known competition,,,,,,,,,,,,,,,,
Alabama,SOARING (Science On A Roll In Next?Gen),6    ,12    ,High school students in certain counties (east Alabama),Funded (sponsorship by Honda & UAB),,N,,Privately-funded,Program modules start in fall / academic year,Fall,,https://www.uab.edu/advancement/why-give/students/investing-in-tomorrows-stem-workforce,Other,Science,Outside School,In?person labs / modules; travel to UAB labs; moderate selectivity; exposure to STEM careers,,,,,,,,,,,,,,,,
Alabama,STEM Academy (for Deaf / Hard of Hearing),9    ,12    ,Deaf / hard of hearing high school students,"Free (covers travel, housing, meals)",,N,,,Typically summer term (3 weeks),Summer,,https://www.aidb.org/stemacademy,Academic Program,Science,Outside School,Residential program; selective; in?person; strong support for DHH students,,,,,,,,,,,,,,,,
Alabama,STEM Entrepreneurship Academy (SEA),9    ,12    ,"Application, interest in STEM + entrepreneurship",Funded / subsidized (camp on UA campus),,N,,Privately-funded,Summer camps (July),,July,https://ccbp.ua.edu/stem-entrepreneurship-academy/,Academic Program,Technology / Coding,Outside School,In?person residential; selective; travel required to UA campus,,,,,,,,,,,,,,,,
Alabama,STEM Showcase (Tuscaloosa area),6    ,8    ,Public/private middle students in Tuscaloosa area; submit project,Free or low cost (sponsored via CCBP),,N,,Privately-funded,February,,February,https://ccbp.ua.edu/stem-showcase/,Competition,Multidisciplinary,Outside School,In?person; winners may advance to regional fair; local prestige,,,,,,,,,,,,,,,,
Alabama,University of Alabama STEM Path to MBA,9    ,12    ,Open to all Alabama students,,,,,,,,,stem2mba.ua.edu,Academic Program,STEM,Outside School,Summer business & STEM program,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Alaska,Alaska Digital Academy (AkDA),6    ,12    ,Open statewide; must fulfill district agreements; must complete assignments; teacher interaction.,Many courses offered at no cost (district / state supported); some may have material costs.,,N,,School-funded,Enrollment deadlines set per semester.,Seasonal,,https://www.alaskadigitalacademy.org/,Academic Program,Technology / Coding,Outside School,Online / remote; flexible schedule; helps students in remote areas; college preparatory.,,,,,,,,,,,,,,,,
Alaska,Alaska Geographic Youth Expeditions (Teen Expeditions),6    ,12    ,Must be Alaska resident teen; must meet the age condition for a given trip; no required prior outdoor experience; physical fitness / general good health required; application plus a nominator (someone (teacher / youth leader) must nominate student) is required.,"Free for participants (full?tuition scholarships for all youth). Travel / logistic costs sometimes supported / arranged; essentials (gear, instruction) provided.",,N,,,"Application & nominator deadline: For 2025, deadline was March 3, 2025; late applications go to waitlist.",,March,https://www.akgeo.org/youth-programs/youth-expeditions/,Academic Program,Science,Outside School,"In?person, camping / expedition format; trips often in remote or back?country settings; physical demands; good for leadership, environmental / ecological learning; high value due to “no cost” for participants; selective in that nomination + application required.",,,,,,,,,,,,,,,,
Alaska,Alaska Native Heritage Center Internships,6    ,12    ,Applicants must be youth; preference given to Alaska Native youth; some roles require familiarity with Native culture; sometimes little or no prior job experience required.,"Paid internships in many cases; wages funded via programs such as ANHC’s Youth Development component, with other support (grants, workforce programs) for roles like master artist apprentice, cultural performers, guest services, etc. Travel / accommodations usually local; costs to intern minimal. ",,,,,Varies by year. Summer internships are seasonal; applications typically open in spring. Specific deadlines not always posted publicly early.,Seasonal,,https://www.alaskanative.net/visit/school-visits/,Volunteer/Service,Multidisciplinary,Outside School,"Selective in that youth are expected to commit; travel may or may not be needed depending on where you live; roles cover cultural performance, tourism, guest services, storytelling, etc.; offers real work?experience; prestige within cultural/tourism & Native arts contexts.",,,,,,,,,,,,,,,,
Alaska,Alaska State Science & Engineering Fair (ASEF),6    ,12    ,Alaska residency; produce STEM project; open to all students grades K?12.,Free to enter; funded by sponsors and donations.,,N,,Privately-funded,"Registration in mid?March (e.g. Mar 16, 2025)",,March,https://alaskasciencefair.org,Competition,Multidisciplinary,Outside School,Prestige: statewide + one or more winners go to ISEF (USA). In?person & virtual option. Travel may be required.,,,,,,,,,,,,,,,,
Alaska,"ANSEP Acceleration Academy (multiple locations: Anchorage, Bethel, Kotzebue, Nome, Mat?Su)",9    ,12    ,"Application, teacher recommendations, placement tests in math & English, college?ready; open to Alaska Native & non?Native.","Free: ANSEP covers tuition, fees, materials. Residential components provided where available.",,N,,Privately-funded,Applications vary by region; often in spring for fall term.,Spring,,https://www.ansep.net/acceleration-academy-full-time/,Academic Program,Multidisciplinary,Through School,"Students enroll via their school district (or MC/charter/homeschool partner), take college courses plus high school; prestige; large college credit savings; in?person or hybrid; residential in some regions.",,,,,,,,,,,,,,,,
Alaska,High School Internships – Alaska Songbird Institute,9    ,12    ,Ages 14?18; interest in research / wildlife; letters of recommendation; available to in?state due to housing/transport constraints.,Unpaid volunteer work; stipend of $500 available for interns with ? 85 hours. Housing/transport likely student’s responsibility.,,,,,Applications open mid?March; deadline ~ late April (rolling until spots fill) for summer program.,,April,https://aksongbird.org/get-involved/high-school-internships/,Volunteer/Service,Science,Outside School,Field?work; selective; requires commitment; good for students interested in ecology / field science.,,,,,,,,,,,,,,,,
Alaska,Junior Science & Humanities Symposium (Alaska JSHS),9    ,12    ,Must conduct original STEM research; enrollment in public/private/home school; application.,No cost to register or participate.,,N,,,Deadlines vary by regional host; posted in fall. ,Fall,,https://www.jshs.org/region/alaska/,Competition,Science,Outside School,Prestige: USA links; opportunity to win scholarships; presentation experience.,,,,,,,,,,,,,,,,
Alaska,Native Youth Olympics (NYO) / Junior NYO,7    ,12    ,In?state students; limited number per school per event; physical performance & interest.,Participation fee / travel cost may be required; scholarships or accommodations & travel discounts available. ,,Y,Y,,Tryouts and registration ahead of games (varies by region); events in winter & spring.,Varies,,https://nyogames.com/nyo-games/,Competition,Sports,Outside School,High prestige in cultural & athletic tradition; travel required; encourages cultural heritage & physical fitness; online resources for training.,,,,,,,,,,,,,,,,
Alaska,STEM Scouts (Great Alaska Council),6    ,12    ,Open to youth in Scouting units; modules; open participation.,Low cost / Scouting dues; mostly supported by STEM partners.,Low,Y,Y,Privately-funded,Ongoing enrollment; modules run throughout year.,Rolling Admission,,https://scoutingalaska.org/stem-scouts/,Club,Technology / Coding,Outside School,"Offers badges, experiential learning; online & field?trip components.",,,,,,,,,,,,,,,,
Alaska,UAA Summer Engineering Academies,6    ,12    ,Open to all students; interest in STEM.,"~$250 per week; includes instruction, meals, materials; tuition waivers for low income.",250.00,Y,Y,,"Deadline ~ March 1, 2025 for 2025 academies.",,March,https://www.uaa.alaska.edu/academics/college-of-engineering/community/summer-academies/,Academic Program,Technology / Coding,Outside School,In?person; week?long; small teacher:student ratio; good hands?on exposure.,,,,,,,,,,,,,,,,
Arizona,“Keep Engaging Youth in Science (KEYS)” – University of Arizona EAO,11    ,12    ,Application required / Interest in Bioscience,N/A,,,,,Nov-31,,November,https://eao.arizona.edu/summer,Club,Health / Medicine,Outside School,,,,,,,,,,,,,,,,,
Arizona,4?H STEM YOUniversity (AZ),6    ,12    ,Be enrolled or affiliated with Arizona 4?H; interest in STEM,"Low cost, 4-H dues; many programs supported by grants",Low,Y,Y,School-funded,Ongoing / seasonal programs,Seasonal,,https://extension.arizona.edu/4-h-stem,Club,Technology / Coding,Outside School,"Multiple modules (robotics, under?water robotics, challenge, ambassadors)",,,,,,,,,,,,,,,,
Arizona,Arizona Academic Decathlon Competitions (AADA),9    ,12    ,Must register team,$295 - $449,372.00,Y,N,,16-Nov,,November,https://www.azacadec.org/competitions/,Competition,Multidisciplinary,Through School,,,,,,,,,,,,,,,,,
Arizona,Arizona DECA,9    ,12    ,Open to all students,,,,,,,,,azdeca.org,Club,Business & Entrepreneurship,At School,Marketing & entrepreneurship competitions,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Arizona,Arizona Distinguished Young Women Program,11    ,12    ,High school junior/senior girls,,,,,,,,,azdyw.org,Competition,Leadership & Community Service,Through School,Scholarships & leadership development,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Arizona,Arizona Dual Enrollment Programs,9    ,12    ,Current HS students,,,,,,,,,azed.gov,Academic Program,General Academic,Through School,Dual enrollment opportunities,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Arizona,Arizona Key Club,9    ,12    ,Open to all students,,,,,,,,,azkeyclub.org,Club,Leadership & Community Service,At School,Service & leadership opportunities,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Arizona,Arizona MESA – STEM Opportunities,8    ,12    ,Application required,$700 ,700.00,Y,N,,31-Jan,,January,https://azmesa.arizona.edu/stem-opportunities,Academic Program,Science,Outside School,,,,,,,,,,,,,,,,,
Arizona,Arizona Odyssey of the Mind,6    ,12    ,Membership required / Must register team,$200 for intial team and $100 for subsequent teams per school / $50 late registration fee,300.00,Y,N,,15-Feb,,February,https://www.azodyssey.org/,Competition,Technology / Coding,Outside School,,,,,,,,,,,,,,,,,
Arizona,Arizona Science & Engineering Fair (AzSEF),6    ,12    ,"Students must qualify via school, district, regional fairs; open statewide to Arizona students.",Registration cost usually free for students (cost borne by regional / state organizers),,N,,,March,,March,https://www.azscience.org/learn/azsef/,Competition,Multidisciplinary,Outside School,Flagship statewide science fair; winners may compete in Regeneron ISEF,,,,,,,,,,,,,,,,
Arizona,Arizona Science Olympiad,2    ,12    ,Students in grades 2-12.,Varies,,,,,Varies,Varies,,https://scilympiad.com/az,Competition,Science,Through School,"Offers Div A for grades 2-5, Div B for grades 6-9, and Div C for grades 9-12.",,,,,,,,,,,,,,,,
Arizona,ASU Community Music School,0    ,12    ,Students of all ages and levels.,Varies,,,,,Registration is now open for Fall 2025,Fall,,https://musicdancetheatre.asu.edu/resources/community/asu-community-music-school,Academic Program,Arts,Outside School,"Offers virtual and in-person private lessons in Piano, Guitar, Saxophone and Voice.",,,,,,,,,,,,,,,,
Arizona,ASU Prep Digital,9    ,12    ,High school students.,Tuition-based,,Y,N,,Rolling admission,Rolling Admission,,https://eoss.asu.edu/family/k-12-programs,Academic Program,Multidisciplinary,Online,"Accredited online high school where you can take a single online course or enroll in a full-time, diploma-granting program.",,,,,,,,,,,,,,,,
Arizona,ASU Summer Programs,0    ,12    ,K-12 students.,Varies,,,,,Varies,Varies,,https://eoss.asu.edu/family/k-12-programs,Academic Program,Multidisciplinary,Outside School,"Available for K-12 students in a variety of topics, offered on all four ASU campuses in both day and overnight formats.",,,,,,,,,,,,,,,,
Arizona,Empowerment Scholarship Account (ESA),0    ,12    ,Arizona students.,State-funded,,N,,School-funded,Varies,Varies,,https://www.azed.gov/esa,Scholarship,Multidisciplinary,Outside School,"ESA dollars cover multiple education expenses, such as private school tuition, curricula, educational supplies, tutoring, and more.",,,,,,,,,,,,,,,,
Arizona,Fleischer Scholars,10    ,12    ,"Students must be currently sophomores or juniors (so rising juniors or seniors) in Arizona high schools, interest in business, applying; competitive process.",Free / scholarship?supported: students admitted receive a free college course credit; program costs covered by Fleischer / partner institutions.,,N,,Privately-funded,"Annual application; “Space … is limited … apply early.” For example, application cycles aligned to academic year; exact deadlines vary.",Varies,,https://nasep.arizona.edu/resources/internships/fleischer-scholars-program,Academic Program,Math,Outside School,"Immersive pre?college business program. Students engage with business leaders, network, develop entrepreneurial mindset. Delivered outside school (at ASU / partner settings). Offers prestige via college credit and business exposure. Selective because limited space. In?person.",,,,,,,,,,,,,,,,
Arizona,Flinn Young Leaders,10    ,12    ,Application required / Community involvement,N/A,,,,,28-Feb,,February,https://www.flinn.org/civic-leadership/programs/flinn-young-leaders/,Club,Leadership / Business,Outside School,,,,,,,,,,,,,,,,,
Arizona,Girls in STEM (Arizona Science Center),6    ,8    ,Open to girls (and those identifying as female/nonbinary),Many events free or subsidized; lunch provided for full?day events,,N,,Privately-funded,"Occurs several single?day events (e.g. Oct 11, Nov 8, Dec)",Varies,,https://www.azscience.org/learn/students/girls-in-stem/,Academic Program,Multidisciplinary,Outside School,"Day events, hands?on labs; mentorship; encourages female participation in STEM.",,,,,,,,,,,,,,,,
Arizona,Inspire Program (ASU / Access ASU / Native American?focused),9    ,12    ,Must be American Indian high school students from Tribal Nations in Arizona. Application required.,Free: no program fees required.,,N,,,"Held in mid?June (example: June 15?20, 2025)",,June,https://eoss.asu.edu/access/programs/summer/inspire,Academic Program,Multidisciplinary,Outside School,"Notes: It’s a week?long, college?readiness program. Culturally grounded / project?based. Students engage with ASU staff/faculty, do academic & personal success skill building. Outside?school delivery. Length is short; in?person. Selective since space is limited.",,,,,,,,,,,,,,,,
Arizona,Junior Science & Humanities Symposium (AZ region),9    ,12    ,Must conduct original research; apply via regional host,No cost to register or participate,,N,,,Regional cycle (dates TBD annually),,,https://www.jshs.org/region/Arizona/,Competition,Technology / Coding,Outside School,Prestigious research presentation; scholarship opportunity; USA linkage.,,,,,,,,,,,,,,,,
Arizona,Junior Sun Devils Club,0    ,8    ,Sun Devils in Training.,Varies,,,,,N/A,,,https://eoss.asu.edu/family/k-12-programs,Club,Sports,Outside School,Membership includes access to 300+ games throughout Sun Devil Athletics 26 sports.,,,,,,,,,,,,,,,,
Arizona,me3®: major and career quiz,9    ,12    ,High school students.,Free,,N,,,N/A,,,https://eoss.asu.edu/family/k-12-programs,Other,Multidisciplinary,Online,"Find a major, degree program and career that fits you with the me3 online interactive quiz.",,,,,,,,,,,,,,,,
Arizona,Med?Start Health Careers Program – University of Arizona,11    ,11    ,Application required / Interest in health profession,"$6,000 ",,,,Privately-funded,1-Feb,,February,https://eao.arizona.edu/summer,Scholarship,Health / Medicine,Through School,,,,,,,,,,,,,,,,,
Arizona,NASEP (Native American Science & Engineering Program),9    ,12    ,"Must be enrolled in a recognized tribe (American Indian / Alaska Native / Hawaiian Native) or descendant; must be on track to complete Physics, Chemistry, and Pre-Calculus (or Trigonometry) with “C” or better; commit to summer plus year?long events. Must attend summer and participate during the year.","Free: no cost to students. Funded by University of Arizona (Early Academic Outreach) plus partner institutions. Program provides technology device, workshops, etc.",,N,,Privately-funded,"Application deadline: application for 2026 stated; Summer dates June 7?13, 2026 for summer portion. Application deadlines announced ahead of cohort.",,June,https://nasep.arizona.edu/,Academic Program,Technology / Coding,Outside School,"Year?long cohort model. Summer residential week at University of Arizona. Offers mentoring, academic support, workshops (e.g. building computer, lab visits, etc.), research project phase, enrichment events (conferences, tribal forums). Highly selective. Travel may be required (students need to get to Tucson or program site). Strong prestige and strong support.",,,,,,,,,,,,,,,,
Arizona,Phoenix Conservatory of Music College Prep Program,9    ,12    ,High school students interested in contemporary music.,Varies,,,,,Varies,Varies,,https://pcmrocks.org/,Academic Program,Arts,Outside School,In partnership with the Berklee College of Music and The Berklee City Music Network.,,,,,,,,,,,,,,,,
Arizona,RAZE Leaders,9    ,12    ,Application required / Must live in rural Arizona,N/A,,,,,N/A,,,https://www.raze.org/leaders,Academic Program,Leadership / Business,Outside School,,,,,,,,,,,,,,,,,
Arizona,SARSEF Regional Science & Engineering Fair,6    ,12    ,"Must be in the geographic region served by SARSEF (Southern Arizona), projects approved via school-level fair first.",Free to participate (supported by sponsors),,N,,Privately-funded,Annually in late winter / early spring (school/district fair deadlines vary),Spring,,https://sarsef.org/programs/competitions/sarsef-science-and-engineering-fair/,Competition,Technology / Coding,Outside School,Top projects can advance; part of local to state fair pathway,,,,,,,,,,,,,,,,
Arizona,STEM Ambassador Project (University of Arizona / Extension),6    ,12    ,"Application, desire to lead outreach, prior 4-H or STEM interest",Free for participants,,N,,,Runs annually July 1 – June 30 (project year),,June,https://extension.arizona.edu/stem-ambassador-project,Volunteer/Service,Science,Outside School,"Teen leaders deliver STEM to younger students, training & outreach",,,,,,,,,,,,,,,,
Arizona,Sun Devil Generations,0    ,8    ,Children from birth through eighth grade.,Varies,,,,,N/A,,,https://eoss.asu.edu/family/k-12-programs,Club,Multidisciplinary,Outside School,"Designed for Sun Devil families to create a lifelong ASU connection in innovative, educational and entertaining ways.",,,,,,,,,,,,,,,,
Arizona,"teachSTEM (AEF, Arizona)",6    ,12    ,School participation and teacher / STEM coach support; students in participating classrooms,Free for students (program funding by AEF),,N,,Privately-funded,Year-round; schools apply to participate,Rolling Admission,,https://azedfoundation.org/programs-and-initiatives/teachstem/,Academic Program,Science,Through School,"Students are exposed to STEM teaching methods, coached, and meet STEM experts; builds pipeline to STEM teaching.",,,,,,,,,,,,,,,,
Arizona,U.S. Senate Youth Program – Arizona,11    ,12    ,Application required / Serving in leadership position,No cost / Funded by Hearst Foundation,,N,,Privately-funded,4-Sep,,September,https://www.azed.gov/studentachievement/senateyouth,Scholarship,Leadership / Business,Through School,,,,,,,,,,,,,,,,,
Arizona,University of Arizona – Summer Engineering Academy (SEA),9    ,12    ,Interest in Engineering,$350 day camps / $750 residential camps,550.00,Y,N,,15-Apr,,April,https://ece.arizona.edu/k12/k12_SEA,Competition,Technology / Coding,Outside School,,,,,,,,,,,,,,,,,
Arizona,"Valley Youth STEM Initiative (Arizona Youth STEM Initiative, AYSI)",6    ,12    ,Interest in Robotics / Coding,N/A,,,,,Varies by event,Varies,,https://www.arizonayouthstem.org/,Competition,Technology / Coding,Outside School,,,,,,,,,,,,,,,,,
Arkansas,AEGIS Summer Programs (Academic Enrichment for Gifted/Talented),9,12,Open to Arkansas students; not required to be formally identified gifted/talented; application required.,Funded by DESE via grants; likely low or no cost to student; travel or room/board may or may not be funded depending on residential vs commuter session.,,N,,Privately-funded,"For example, AI Robotics & Ethics: application deadline April 5, 2025.",,April,https://faculty.uca.edu/wvslaton/AEGIS-Camp/,Academic Program,Technology / Coding,Outside School,"Some sessions residential, some commuter; high school level; unique focus combining ethics + robotics; selective admission.",,,,,,,,,,,,,,,,
Arkansas,AR Tech?DaSH (Arkansas Technology & Data Science in Health & Medicine),9,12,"Application required; interest in health, medicine, data science; serves diverse / underserved populations; open statewide.",Funded via NIH SEPA grant; costs for students minimal or free; outreach components likely no cost.,,N,,Privately-funded,Summer day camp portion has specific schedule; virtual & outreach parts ongoing; check timeline each year.,Varies,,https://medicine.uams.edu/neuroscience/outreach/ar-tech-dash/,Academic Program,Health / Medicine,Outside School,10?day day camp; includes virtual outreach; students can serve as STEM ambassadors; encourages long?term involvement.,,,,,,,,,,,,,,,,
Arkansas,Arkansas 4?H STEM / Science Programs,6,12,Open to youth involved in 4?H; interest in STEM; may require local club membership.,Low cost / 4?H membership fees; many programs free or supported by grant funding and county Extension agents.,Low,Y,N,School-funded,Ongoing; specific projects / events have deadlines; vary by county.,Rolling Admission,,https://4h.uada.edu/programs/science/ ,Competition,Science,Through School,Provides hands?on projects; opportunities to present; widely available via counties; good for gaining STEM?skill exposure over time.,,,,,,,,,,,,,,,,
Arkansas,Arkansas DECA,9,12,Open to all students,,,,,,,,,arkansasdeca.org,Club,Business & Entrepreneurship,At School,Marketing & entrepreneurship competitions,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Arkansas,Arkansas Distinguished Young Women Program,11,12,High school junior/senior girls,,,,,,,,,arkansasdyw.org,Competition,Leadership & Community Service,Through School,Scholarships & leadership development,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Arkansas,Arkansas Early College & Concurrent Credit,9,12,Current HS students,,,,,,,,,adhe.edu,Academic Program,General Academic,Through School,Dual enrollment opportunities,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Arkansas,Arkansas Key Club,9,12,Open to all students,,,,,,,,,arkeyclub.org,Club,Leadership & Community Service,At School,Service & leadership opportunities,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Arkansas,Arkansas Museum of Fine Arts Teen Programs,9,10,Application / eligibility may include age limits,Some are free; some have tuition / lab fees (with scholarships),Varies,Y,Y,,Specific deadlines per program,Varies,,https://www.arkansascinemasociety.org/educational/filmmaking-lab-for-teen-girls,Academic Program,Arts,Outside School,,,,,,,,,,,,,,,,,
Arkansas,Arkansas STEM Venture Academy,9,10,Selection by school counselors / teachers / administrators; cohort model; students interested in STEM careers.,Varies; likely free or low cost since run via partnership; possible sponsorships; some travel if needed.,Varies,Y,Y,Privately-funded,Announced by Arkansas STEM Coalition; times depend on district & cohort.,Varies,,https://arkansasstemcoalition.com/programs/stem-venture-academy/,Academic Program,Multidisciplinary,Through School,Gives exposure to mid?skill STEM jobs; allows students to engage with industry partners; smaller cohort (~25 students) so more hands?on.,,,,,,,,,,,,,,,,
Arkansas,Arkansas Thespian Festival,6,12,Open to all students,,,,,,,,,arkansasthespians.org,Club,Arts,At School,Theater arts & competitions,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Arkansas,A?State Engineering Boot Camp,9,12,Interest in engineering; apply; sometimes limited slots; likely open to in?state students though non?resident may be allowed.,Cost: Day version ~$300; overnight version ~$450; scholarships / need?based assistance available.,375.00,Y,Y,,Camp in mid?July 2025 (July 14?18); registration deadlines in advance.,,July,https://www.astate.edu/college/ecs/outreach-coecs/engrcamp.dot,Academic Program,Technology / Coding,Outside School,"In?person; includes exposure to labs, faculty, design work; overnight version offers more immersive experience.",,,,,,,,,,,,,,,,
Arkansas,Camp: ASPIRE — Arkansas STEM Coalition,9,12,Open to all levels (beginners to experienced) children/students; virtual class enrollment.,Fee charged (varies per session); robotics kit included and reusable; scholarships or codes may reduce cost.,Varies,Y,Y,,Offered in summer; registration cycles announced in advance.,Summer,,https://arkansasstemcoalition.com/camp-aspire/,Academic Program,Technology / Coding,Outside School,Virtual robotics intensive; families keep robot kit; flexible & accessible; good for low travel burden.,,,,,,,,,,,,,,,,
